subject,phrase,kind,years,year_list,papers,marks,example
Accountancy,partners firm,content_topic,3,"2023,2025,2026",14,139,Akshita and Anurag are partners in a firm sharing profits in the ratio of 2 : 1. Akshat is admitted in the firm with share in profits. Akshat acquires of his share from Akshita and
Accountancy,balance sheet,content_topic,3,"2024,2025,2026",20,139,"(a) From the given Balance Sheet of Geox Ltd., prepare Common Size Balance Sheet : 4 Balance Sheet of Geox Ltd. as at 31st March, 2023 Note 31.3.2023 31.3.2022 Particulars No. < < "
Accountancy,firm sharing profits,content_topic,3,"2023,2025,2026",13,121,Akshita and Anurag are partners in a firm sharing profits in the ratio of 2 : 1. Akshat is admitted in the firm with share in profits. Akshat acquires of his share from Akshita and
Accountancy,calculate cash,content_topic,3,"2024,2025,2026",9,57,"From the following particulars of Ruparel Ltd., calculate ‘Cash Flow from Investing Activities’. Show your working clearly. 6 Particulars 31.03.2023 31.03.2022 (₹) (₹) Goodwill 3,0"
Accountancy,investing activities,content_topic,3,"2024,2025,2026",9,57,"From the following particulars of Ruparel Ltd., calculate ‘Cash Flow from Investing Activities’. Show your working clearly. 6 Particulars 31.03.2023 31.03.2022 (₹) (₹) Goodwill 3,0"
Accountancy,firm was dissolved,content_topic,3,"2022,2025,2026",7,41,V¡`ma H$aZo Ho$ àmW{_H$ CÔoí` H$m CëboI H$s{OE & 2 67/6/3 Page 12 of 19 On the above date the firm was dissolved. The Assets were realised and the Liabilities were paid off as foll
Accountancy,his share,content_topic,3,"2023,2025,2026",4,27,Akshita and Anurag are partners in a firm sharing profits in the ratio of 2 : 1. Akshat is admitted in the firm with share in profits. Akshat acquires of his share from Akshita and
Accountancy,new profit,content_topic,3,"2023,2025,2026",4,23,Akshita and Anurag are partners in a firm sharing profits in the ratio of 2 : 1. Akshat is admitted in the firm with share in profits. Akshat acquires of his share from Akshita and
Accountancy,profit sharing ratio,content_topic,3,"2023,2025,2026",3,17,Akshita and Anurag are partners in a firm sharing profits in the ratio of 2 : 1. Akshat is admitted in the firm with share in profits. Akshat acquires of his share from Akshita and
Business Studies,function management,content_topic,3,"2024,2025,2026",16,80,(a) State any four features of directing function of management. 4 OR
Business Studies,planning function,content_topic,3,"2024,2025,2026",6,32,(a) Explain the following as features of planning function of management : 6
Business Studies,importance planning,content_topic,3,"2024,2025,2026",5,28,(a) State any four points of importance of planning function of management. 4 OR
Biology,embryo sac,content_topic,3,"2023,2024,2025",9,49,(a) (i) Describe the arrangement of nuclei and cells in a mature embryo sac of a typical angiosperm.
Chemistry,emf the following cell,content_topic,3,"2024,2025,2026",5,25,(H$) (i) {ZåZ{b{IV A{^{H«$`mAm| Ho$ _w»` CËnmX {b{IE : 56/3/1-13 22 SECTION E 31. (a) (i) Calculate emf of the following cell at 25ºC : Zn (s) Zn (0·001M) Cd (0·1 M) Cd (s) Given :
Chemistry,electrode potential,content_topic,3,"2023,2024,2026",5,23,Consider the following standard electrode potential values : 1 Fe3+(aq) + e–  Fe2+(aq) E = + 0.77 V MnO4– (aq) + 8H+ + 5e–  Mn2+(aq) + 4 H2O(l) E = + 1.51 V What is the cell po
Economics,aggregate demand,content_topic,4,"2022,2024,2025,2026",10,41,Adñ\$s{VH$mar A§Vamb H$mo n[a^m{fV H$s{OE & CëboI H$s{OE {H$ {H$g àH$ma gaH$ma H$amYmZ Zr{V H$m à`moJ H$aHo$ Adñ\$s{VH$mar A§Vamb H$s pñW{V H$mo {Z`§{ÌV H$a gH$Vr h¡ & 3 58/2/2 4 5
Economics,fill the blank,content_topic,3,"2024,2025,2026",14,133,"For a hypothetical economy, it is known that : Average Propensity to Save (APS) = 0.4 Income (Y) = < 100 crore Autonomous Consumption (C) = < 10 crore The value of investment multi"
Economics,hypothetical economy,content_topic,3,"2024,2025,2026",10,68,"For a hypothetical economy, it is known that : Average Propensity to Save (APS) = 0.4 Income (Y) = < 100 crore Autonomous Consumption (C) = < 10 crore The value of investment multi"
Economics,commercial banks,content_topic,3,"2024,2025,2026",6,35,“The Reserve Bank of India (RBI) performs the same function for the government as the commercial banks perform for the general public.” Discuss briefly any two such functions perfo
Economics,likely impact,content_topic,3,"2022,2025,2026",5,34,"^maV Am¡a nm{H$ñVmZ Ûmam AnZmB© JB© {H$Ýht Xmo g_mZ {dH$mgmË_H$ aUZr{V`m| H$s g§{jßV {ddoMZm H$s{OE & 3 58/4/1 4 3. (a) If planned savings exceed planned investments in an economy,"
Economics,reserve bank india,content_topic,3,"2023,2024,2026",5,32,"Read the following news published on September 26, 2022 : central bank has increased the benchmark lending rate by 140 basis Identify the likely cause and consequences behind this "
Economics,basis the following data,content_topic,3,"2022,2025,2026",4,28,"nm{H$ñVmZ _| Yr_r Am{W©H$ d¥{Õ VWm {ZY©ZVm Ho$ nwZ:Am{d^m©d Ho$ {H$Ýht Xmo H$maUm| H$m CëboI H$s{OE & 3 58/6/3 6 7. (a) On the basis of the following data, calculate the value of G"
Economics,gross value added,content_topic,3,"2022,2025,2026",4,28,"nm{H$ñVmZ _| Yr_r Am{W©H$ d¥{Õ VWm {ZY©ZVm Ho$ nwZ:Am{d^m©d Ho$ {H$Ýht Xmo H$maUm| H$m CëboI H$s{OE & 3 58/6/3 6 7. (a) On the basis of the following data, calculate the value of G"
Economics,national income,content_topic,3,"2022,2025,2026",4,20,ñ\$s{VH$mar A§Vamb H$mo n[a^m{fV H$s{OE & CëboI H$s{OE {H$ {H$g àH$ma EH$ AW©ì`dñWm H$m Ho$ÝÐr` ~¢H$ {H$gr _m¡{ÐH$ Zr{V Cnm` H$m à`moJ H$aHo$ ñ\$s{VH$mar A§Vamb H$s n[apñW{V H$mo {
Economics,central bank,content_topic,3,"2023,2024,2025",5,20,"Read the following news published on September 26, 2022 : central bank has increased the benchmark lending rate by 140 basis Identify the likely cause and consequences behind this "
Economics,market price,content_topic,3,"2022,2025,2026",3,18,"nm{H$ñVmZ _| Yr_r Am{W©H$ d¥{Õ VWm {ZY©ZVm Ho$ nwZ:Am{d^m©d Ho$ {H$Ýht Xmo H$maUm| H$m CëboI H$s{OE & 3 58/6/3 6 7. (a) On the basis of the following data, calculate the value of G"
Geography,demographic transition,content_topic,3,"2024,2025,2026",8,93,Which one of the following is applicable to Stage II of demographic transition ? Choose the most appropriate option.
Geography,international trade,content_topic,3,"2024,2025,2026",9,51,‘‘International trade can prove to be detrimental to nations if it leads to dependence on the other countries.’’ Justify the statement. 5
Geography,highly uneven,content_topic,3,"2024,2025,2026",8,49,"How does the highly uneven spatial distribution of the population in India suggest its close relationship with physical, social, economic and historical factors ? Analyse with exam"
History,vijayanagara empire,content_topic,3,"2023,2025,2026",11,88,(a) Explain the reasons of apogee and fall of the Vijayanagara Empire. 8 OR
History,quit india movement,content_topic,3,"2024,2025,2026",5,48,(H$) ~m¡Õ ñVyn A_amdVr I§S>ha H¡$go hmo J`m Am¡a gm±Mr ñVyn H¡$go ~M J`m ? naI H$s{OE & 8 AWdm (I) nm¡am{UH$ {hÝXÿ Y_© Ho$ {dH$mg H$s naI H$s{OE & 8 61/3/2-13 Page 14 of 23 21. Whi
History,salt satyagraha,content_topic,3,"2023,2024,2025",5,40,(a) Examine the reasons and outcomes of the Salt Satyagraha. 4+4=8 OR
History,bombay deccan,content_topic,3,"2023,2024,2025",4,32,(a) Analyse the causes that led to the Bombay Deccan Riots. 8 OR
Mathematics,differential equation,content_topic,3,"2023,2025,2026",12,92,"{gÕ H$s{OE {H$ \$bZ f : [0, ) [ 5, ) Omo {H$ f(x) = 4x2 + 4x 5 Ûmam n[a^m{fV h¡, EH¡$H$s VWm AmÀN>mXH$ XmoZm| h¡ & 65/3/2 JJJJ Page 16 30. (a) Find the general solution of the diff"
Mathematics,solution the differential,content_topic,3,"2023,2025,2026",4,30,"{gÕ H$s{OE {H$ \$bZ f : [0, ) [ 5, ) Omo {H$ f(x) = 4x2 + 4x 5 Ûmam n[a^m{fV h¡, EH¡$H$s VWm AmÀN>mXH$ XmoZm| h¡ & 65/3/2 JJJJ Page 16 30. (a) Find the general solution of the diff"
Mathematics,find the probability,content_topic,3,"2023,2025,2026",6,29,A fair coin is tossed 9 times. Find the probability of getting.
Physics,electric field,content_topic,4,"2023,2024,2025,2026",14,84,(a) (i) Why do we use a small test charge to measure an electric field ?
